trace_dir,device_pair,model_idx,flashnet_train_accuracy,flashnet_val_accuracy,flashnet_fidelity_accuracy,surrogate_dt_train_accuracy,surrogate_dt_val_accuracy,surrogate_dt_fidelity_accuracy,small_surrogate_dt_train_accuracy,small_surrogate_dt_val_accuracy,small_surrogate_dt_fidelity_accuracy,small_surrogate_dt_depth5_train_accuracy,small_surrogate_dt_depth5_val_accuracy,small_surrogate_dt_depth5_fidelity_accuracy,delta_surrogate_dt_vs_flashnet_train,delta_surrogate_dt_vs_flashnet_val,delta_surrogate_dt_vs_flashnet_fidelity,delta_small_surrogate_dt_vs_flashnet_train,delta_small_surrogate_dt_vs_flashnet_val,delta_small_surrogate_dt_vs_flashnet_fidelity,delta_small_surrogate_dt_depth5_vs_flashnet_train,delta_small_surrogate_dt_depth5_vs_flashnet_val,delta_small_surrogate_dt_depth5_vs_flashnet_fidelity,flashnet_log_path,surrogate_dt_metrics_path,small_surrogate_dt_metrics_path,small_surrogate_dt_depth5_metrics_path,status
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,0,0.7718,0.7722,1.0,,,,0.759636,0.759654,0.908907,0.74994,0.750078,0.883271,,,,-0.012164,-0.012546,-0.091093,-0.02186,-0.022122,-0.116729,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,1,0.8707,0.8716,1.0,,,,0.868227,0.868326,0.977693,0.863935,0.864203,0.966967,,,,-0.002473,-0.003274,-0.022307,-0.006765,-0.007397,-0.033033,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,0,0.8268,0.8261,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,1,0.8979,0.8935,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,0,0.7855,0.7838,1.0,,,,0.779764,0.780462,0.90436,0.770783,0.772805,0.88069,,,,-0.005736,-0.003338,-0.09564,-0.014717,-0.010995,-0.11931,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,1,0.8677,0.8628,1.0,,,,0.86072,0.859993,0.957881,0.852352,0.852513,0.938276,,,,-0.00698,-0.002807,-0.042119,-0.015348,-0.010287,-0.061724,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,0,0.8122,0.8105,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,1,0.8814,0.8827,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,0,0.7943,0.8009,1.0,,,,0.787323,0.786852,0.914215,0.764826,0.764343,0.869778,,,,-0.006977,-0.014048,-0.085785,-0.029474,-0.036557,-0.130222,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,1,0.8586,0.8608,1.0,,,,0.860248,0.859881,0.95367,0.855057,0.855064,0.942547,,,,0.001648,-0.000919,-0.04633,-0.003543,-0.005736,-0.057453,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme14n1...nvme15n1,0,0.8494,0.8474,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme14n1...nvme15n1,1,0.8978,0.8984,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme0n1...nvme2n1,0,0.8036,0.8061,1.0,,,,0.81121,0.812409,0.934729,0.810294,0.810835,0.91535,,,,0.00761,0.006309,-0.065271,0.006694,0.004735,-0.08465,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme0n1...nvme2n1,1,0.8539,0.8577,1.0,,,,0.854068,0.85387,0.950604,0.842263,0.842076,0.931847,,,,0.000168,-0.00383,-0.049396,-0.011637,-0.015624,-0.068153,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme14n1...nvme15n1,0,0.8368,0.8369,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme14n1...nvme15n1,1,0.8924,0.8933,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme0n1...nvme2n1,0,0.8337,0.8407,1.0,,,,0.837097,0.837891,0.92599,0.82436,0.824948,0.901157,,,,0.003397,-0.002809,-0.07401,-0.00934,-0.015752,-0.098843,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme0n1...nvme2n1,1,0.8574,0.8535,1.0,,,,0.835345,0.834669,0.907938,0.809926,0.810276,0.872395,,,,-0.022055,-0.018831,-0.092062,-0.047474,-0.043224,-0.127605,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme14n1...nvme15n1,0,0.8272,0.8262,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme14n1...nvme15n1,1,0.8702,0.8694,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,0,0.8701,0.8761,1.0,,,,0.862607,0.860672,0.950766,0.851896,0.850425,0.93658,,,,-0.007493,-0.015428,-0.049234,-0.018204,-0.025675,-0.06342,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,1,0.8734,0.8746,1.0,,,,0.863801,0.864259,0.9501,0.85482,0.855356,0.933511,,,,-0.009599,-0.010341,-0.0499,-0.01858,-0.019244,-0.066489,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,0,0.8563,0.8547,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,1,0.8904,0.8901,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
